<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.07.18	1.81850	1.83300	1.81820	1.82620	11143	0	30
2006.07.19	1.82600	1.84430	1.82290	1.84190	11130	0	30
2006.07.20	1.84190	1.85210	1.84130	1.84860	10798	0	30
2006.07.21	1.84870	1.86010	1.84670	1.85870	9884	0	30
2006.07.22	1.85850	1.86000	1.85820	1.85840	190	0	30
2006.07.24	1.85930	1.85990	1.84810	1.85120	9983	0	30
2006.07.25	1.85120	1.85400	1.83840	1.83950	10562	0	30
2006.07.26	1.83950	1.85530	1.83890	1.85440	10139	0	30
2006.07.27	1.85420	1.86780	1.85270	1.85740	10765	0	30
2006.07.28	1.85760	1.86680	1.85430	1.86360	10673	0	30
2006.07.29	1.86380	1.86450	1.86250	1.86320	120	0	30
2006.07.31	1.86270	1.86920	1.86170	1.86740	9847	0	30
2006.08.01	1.86750	1.87670	1.86260	1.87630	10793	0	30
2006.08.02	1.87650	1.87990	1.87310	1.87660	10432	0	30
2006.08.03	1.87660	1.89170	1.86970	1.88780	11813	0	30
2006.08.04	1.88770	1.91310	1.88520	1.90800	11213	0	30
2006.08.05	1.90800	1.90880	1.90670	1.90760	134	0	30
2006.08.07	1.90740	1.91170	1.90440	1.90670	9249	0	30
2006.08.08	1.90670	1.91460	1.90330	1.90750	10132	0	30
2006.08.09	1.90760	1.91130	1.89720	1.90460	10624	0	30
2006.08.10	1.90450	1.90920	1.88670	1.89350	11598	0	30
2006.08.11	1.89340	1.89920	1.88860	1.89050	10837	0	30
2006.08.12	1.89030	1.89110	1.88960	1.89020	93	0	30
2006.08.14	1.88970	1.89540	1.88410	1.88730	9659	0	30
2006.08.15	1.88740	1.89810	1.88540	1.89390	10604	0	30
2006.08.16	1.89380	1.90260	1.88790	1.89540	9927	0	30
2006.08.17	1.89540	1.90110	1.88200	1.88530	10434	0	30
2006.08.18	1.88510	1.88710	1.87750	1.88150	9815	0	30
2006.08.19	1.88140	1.88310	1.88080	1.88150	112	0	30
2006.08.21	1.88140	1.89990	1.88090	1.89420	9959	0	30
2006.08.22	1.89420	1.89530	1.88550	1.88800	11095	0	30
2006.08.23	1.88800	1.90010	1.88620	1.89340	10556	0	30
2006.08.24	1.89340	1.89760	1.88580	1.88680	11099	0	30
2006.08.25	1.88690	1.89190	1.88290	1.88720	10782	0	30
2006.08.26	1.88720	1.88840	1.88590	1.88700	374	0	30
2006.08.28	1.88740	1.89940	1.88620	1.89290	8643	0	30
2006.08.29	1.89290	1.90310	1.88970	1.89840	10801	0	30
2006.08.30	1.89840	1.90630	1.89710	1.90440	10714	0	30
2006.08.31	1.90440	1.90940	1.89940	1.90490	10748	0	30
2006.09.01	1.90480	1.90710	1.89560	1.90540	10833	0	30
2006.09.02	1.90530	1.90710	1.90330	1.90450	155	0	30
2006.09.04	1.90650	1.90840	1.90290	1.90720	8771	0	30
2006.09.05	1.90710	1.90750	1.89120	1.89470	10561	0	30
2006.09.06	1.89470	1.89590	1.87900	1.88450	11016	0	30
2006.09.07	1.88440	1.88730	1.87070	1.87550	11373	0	30
2006.09.08	1.87550	1.87750	1.86280	1.86510	12090	0	30
2006.09.09	1.86520	1.86650	1.86360	1.86540	320	0	30
2006.09.11	1.86530	1.87090	1.86010	1.86570	9828	0	30
2006.09.12	1.86570	1.87760	1.86300	1.87460	10827	0	30
2006.09.13	1.87460	1.87800	1.87100	1.87600	10779	0	30
2006.09.14	1.87620	1.89210	1.87550	1.88650	10756	0	30
2006.09.15	1.88650	1.88840	1.87530	1.88130	10446	0	30
2006.09.16	1.88130	1.88160	1.87900	1.87900	83	0	30
2006.09.18	1.87800	1.88430	1.87350	1.88030	11212	0	30
2006.09.19	1.88020	1.88850	1.87720	1.88220	14136	0	30
2006.09.20	1.88170	1.89280	1.88010	1.88840	14102	0	30
2006.09.21	1.88830	1.90310	1.88620	1.90210	15973	0	30
2006.09.22	1.90200	1.90620	1.89930	1.90010	15268	0	30
2006.09.25	1.90080	1.90720	1.89810	1.89960	13903	0	30
2006.09.26	1.89970	1.90270	1.89300	1.89430	15020	0	30
2006.09.27	1.89410	1.89610	1.88520	1.88900	15180	0	30
2006.09.28	1.88920	1.89160	1.87220	1.87690	14786	0	30
2006.09.29	1.87720	1.87810	1.86310	1.87220	13021	0	30
2006.10.02	1.87470	1.88750	1.86760	1.88680	11466	0	30
2006.10.03	1.88670	1.89000	1.88550	1.88760	12262	0	30
2006.10.04	1.88770	1.88830	1.87840	1.88610	14630	0	30
2006.10.05	1.88620	1.88680	1.87500	1.87910	10337	0	30
2006.10.06	1.87920	1.88560	1.86720	1.87050	9399	0	30
2006.10.09	1.86880	1.87140	1.86340	1.86710	7116	0	30
2006.10.10	1.86720	1.87020	1.85270	1.85410	9291	0	30
2006.10.11	1.85400	1.85880	1.85170	1.85330	8623	0	30
2006.10.12	1.85350	1.86120	1.85310	1.85900	8241	0	30
2006.10.13	1.85910	1.86320	1.85330	1.85570	8369	0	30
2006.10.16	1.85490	1.86460	1.85230	1.86170	8930	0	30
2006.10.17	1.86150	1.87350	1.86080	1.87060	9303	0	30
2006.10.18	1.87050	1.87380	1.86620	1.86790	10250	0	30
2006.10.19	1.86810	1.87980	1.86640	1.87750	9032	0	30
2006.10.20	1.87760	1.88600	1.87540	1.88330	9278	0	30
2006.10.23	1.88290	1.88320	1.86850	1.87350	7269	0	30
2006.10.24	1.87390	1.87670	1.86720	1.87260	7821	0	30
2006.10.25	1.87250	1.87990	1.87170	1.87700	8880	0	30
2006.10.26	1.87710	1.89240	1.87670	1.89050	9435	0	30
2006.10.27	1.89030	1.90020	1.88690	1.89780	8849	0	30
2006.10.30	1.89620	1.90410	1.89530	1.90130	8047	0	30
2006.10.31	1.90110	1.90970	1.89560	1.90720	9236	0	30
2006.11.01	1.90730	1.91350	1.90540	1.90850	9106	0	30
2006.11.02	1.90870	1.91060	1.90330	1.90840	8452	0	30
2006.11.03	1.90830	1.91070	1.89740	1.90110	8150	0	30
2006.11.06	1.90160	1.90270	1.89470	1.89740	6942	0	30
2006.11.07	1.89750	1.91210	1.89690	1.90580	8296	0	30
2006.11.08	1.90570	1.90960	1.90050	1.90510	8310	0	30
2006.11.09	1.90520	1.90840	1.89730	1.90490	9211	0	30
2006.11.10	1.90500	1.91770	1.90490	1.91050	9478	0	30
2006.11.13	1.91190	1.91530	1.89960	1.90090	10406	0	30
2006.11.14	1.90080	1.90490	1.89220	1.89520	9580	0	30
2006.11.15	1.89530	1.89680	1.88360	1.88870	8977	0	30
2006.11.16	1.88860	1.89320	1.88510	1.88830	7736	0	30
2006.11.17	1.88810	1.89660	1.88350	1.89430	7452	0	30
2006.11.20	1.89450	1.89850	1.89310	1.89750	6918	0	30
2006.11.21	1.89760	1.90060	1.89600	1.89880	6569	0	30
2006.11.22	1.89890	1.91650	1.89830	1.91440	7726	0	30
2006.11.23	1.91460	1.91690	1.91290	1.91560	5982	0	30
2006.11.24	1.91560	1.93480	1.91450	1.93200	8363	0	30
2006.11.27	1.93900	1.94100	1.93050	1.93800	9289	0	30
2006.11.28	1.93740	1.95350	1.93670	1.95150	9958	0	30
2006.11.29	1.95140	1.95440	1.94340	1.94640	12114	0	30
2006.11.30	1.94620	1.96970	1.94460	1.96590	10531	0	30
2006.12.01	1.96580	1.98460	1.96340	1.98100	10009	0	30
2006.12.04	1.98320	1.98380	1.97220	1.98140	8739	0	30
2006.12.05	1.98150	1.98190	1.96770	1.97310	9727	0	30
2006.12.06	1.97290	1.97390	1.96150	1.96630	8259	0	30
2006.12.07	1.96610	1.97100	1.96110	1.96290	8504	0	30
2006.12.08	1.96320	1.97280	1.95170	1.95450	10443	0	30
2006.12.11	1.95290	1.95940	1.94630	1.95800	8237	0	30
2006.12.12	1.95780	1.97140	1.95740	1.97110	9394	0	30
2006.12.13	1.97100	1.97270	1.96040	1.96660	8058	0	30
2006.12.14	1.96670	1.97120	1.95780	1.96010	7388	0	30
2006.12.15	1.96030	1.96640	1.94980	1.95210	9770	0	30
2006.12.18	1.95220	1.95780	1.94330	1.94750	6546	0	30
2006.12.19	1.94740	1.97000	1.94630	1.96940	8224	0	30
2006.12.20	1.96920	1.97470	1.96180	1.96420	7730	0	30
2006.12.21	1.96410	1.96970	1.95570	1.96150	8402	0	30
2006.12.22	1.96130	1.96820	1.95570	1.95790	8399	0	30
2006.12.26	1.95790	1.95970	1.95140	1.95360	7770	0	30
2006.12.27	1.95330	1.96320	1.95260	1.95600	8810	0	30
2006.12.28	1.95610	1.96770	1.95520	1.96240	9455	0	30
2006.12.29	1.96280	1.96690	1.95660	1.95870	9403	0	30
2007.01.02	1.96130	1.97410	1.95870	1.97360	13029	0	20
2007.01.03	1.97370	1.97500	1.94800	1.95130	9810	0	20
2007.01.04	1.95150	1.95290	1.93960	1.94270	10788	0	20
2007.01.05	1.94280	1.94460	1.92630	1.92900	10561	0	20
2007.01.06	1.92910	1.92910	1.92910	1.92910	1	0	20
2007.01.08	1.93030	1.94030	1.92600	1.93780	8364	0	20
2007.01.09	1.93770	1.94540	1.93740	1.93930	9332	0	20
2007.01.10	1.93920	1.94210	1.93120	1.93200	9928	0	20
2007.01.11	1.93190	1.95360	1.93160	1.94500	10842	0	20
2007.01.12	1.94510	1.96060	1.94250	1.95890	10452	0	20
2007.01.15	1.95900	1.96670	1.95690	1.96420	7139	0	20
2007.01.16	1.96480	1.97060	1.95900	1.96130	10152	0	20
2007.01.17	1.96110	1.97260	1.95960	1.96940	8983	0	20
2007.01.18	1.96960	1.97770	1.96350	1.97410	10111	0	20
2007.01.19	1.97400	1.97720	1.96940	1.97380	9100	0	20
2007.01.22	1.97370	1.97860	1.97150	1.97600	7660	0	20
2007.01.23	1.97610	1.99130	1.97480	1.98120	9676	0	20
2007.01.24	1.98100	1.98300	1.96440	1.96950	11012	0	20
2007.01.25	1.96930	1.97330	1.96230	1.96400	9677	0	20
2007.01.26	1.96390	1.96790	1.95590	1.95930	8987	0	20
