<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.07	109.725	109.942	109.579	109.833	56316	0	0
2021.04.08	109.845	109.904	109.000	109.263	49188	0	0
2021.04.09	109.255	109.960	109.207	109.656	52364	0	0
2021.04.12	109.725	109.769	109.246	109.375	41002	0	0
2021.04.13	109.373	109.752	109.018	109.054	56833	0	0
2021.04.14	109.051	109.095	108.752	108.936	48070	0	0
2021.04.15	108.903	108.977	108.612	108.753	50326	0	0
2021.04.16	108.753	108.966	108.610	108.790	47815	0	0
2021.04.19	108.735	108.836	108.010	108.137	52359	0	0
2021.04.20	108.144	108.548	107.974	108.082	53228	0	0
2021.04.21	108.075	108.281	107.876	108.052	45109	0	0
2021.04.22	108.037	108.233	107.814	107.968	53906	0	0
2021.04.23	107.963	108.146	107.478	107.878	50826	0	0
2021.04.26	107.899	108.196	107.642	108.092	53264	0	0
2021.04.27	108.071	108.775	108.046	108.737	43447	0	0
2021.04.28	108.656	109.078	108.571	108.600	57648	0	0
2021.04.29	108.577	109.224	108.435	108.917	46442	0	0
2021.04.30	108.915	109.343	108.713	109.330	47921	0	0
2021.05.03	109.269	109.698	108.895	109.068	39701	0	0
2021.05.04	109.051	109.488	109.018	109.291	49993	0	0
2021.05.05	109.295	109.482	109.143	109.193	40811	0	0
2021.05.06	109.176	109.429	109.001	109.082	57127	0	0
2021.05.07	109.086	109.289	108.338	108.607	56840	0	0
2021.05.10	108.570	109.056	108.468	108.836	50370	0	0
2021.05.11	108.810	108.983	108.350	108.621	51894	0	0
2021.05.12	108.622	109.708	108.548	109.703	58355	0	0
2021.05.13	109.622	109.787	109.407	109.457	53318	0	0
2021.05.14	109.417	109.657	109.188	109.366	46674	0	0
2021.05.17	109.289	109.503	109.075	109.240	38176	0	0
2021.05.18	109.116	109.284	108.835	108.889	42156	0	0
2021.05.19	108.863	109.336	108.571	109.213	57043	0	0
2021.05.20	109.204	109.308	108.750	108.790	44133	0	0
2021.05.21	108.745	109.005	108.610	108.946	44797	0	0
2021.05.24	108.885	108.995	108.696	108.769	38870	0	0
2021.05.25	108.731	109.069	108.560	108.773	46904	0	0
2021.05.26	108.750	109.179	108.723	109.141	47141	0	0
2021.05.27	109.079	109.923	109.037	109.838	52496	0	0
2021.05.28	109.746	110.199	109.742	109.872	49569	0	0
2021.05.31	109.784	109.936	109.353	109.554	37849	0	0
2021.06.01	109.554	109.709	109.330	109.489	42712	0	0
2021.06.02	109.465	109.884	109.441	109.573	33710	0	0
2021.06.03	109.547	110.320	109.526	110.302	35954	0	0
2021.06.04	110.252	110.328	109.365	109.523	37932	0	0
2021.06.07	109.577	109.637	109.191	109.255	30434	0	0
2021.06.08	109.241	109.558	109.197	109.482	38045	0	0
2021.06.09	109.491	109.657	109.226	109.631	29622	0	0
2021.06.10	109.599	109.795	109.306	109.324	35572	0	0
2021.06.11	109.323	109.842	109.314	109.679	36785	0	0
2021.06.14	109.630	110.099	109.606	110.078	33242	0	0
2021.06.15	110.059	110.167	109.987	110.065	34329	0	0
2021.06.16	110.016	110.721	109.805	110.702	40222	0	0
2021.06.17	110.624	110.822	110.166	110.231	48129	0	0
2021.06.18	110.165	110.484	109.943	110.214	55802	0	0
2021.06.21	110.177	110.354	109.716	110.327	52735	0	0
2021.06.22	110.241	110.792	110.211	110.665	37505	0	0
2021.06.23	110.624	111.106	110.613	110.955	37373	0	0
2021.06.24	110.950	111.115	110.690	110.881	42061	0	0
2021.06.25	110.845	110.985	110.481	110.777	32109	0	0
2021.06.28	110.769	110.977	110.498	110.609	30397	0	0
2021.06.29	110.623	110.759	110.431	110.545	33322	0	0
2021.06.30	110.506	111.121	110.419	111.104	36451	0	0
2021.07.01	111.099	111.640	111.028	111.525	33619	0	0
2021.07.02	111.512	111.659	110.951	111.021	37983	0	0
2021.07.05	110.951	111.189	110.797	110.982	34972	0	0
2021.07.06	110.926	110.979	110.522	110.615	38549	0	0
2021.07.07	110.586	110.816	110.396	110.615	42700	0	0
2021.07.08	110.633	110.673	109.534	109.759	55157	0	0
2021.07.09	109.720	110.259	109.710	110.133	40735	0	0
2021.07.12	110.115	110.403	109.977	110.354	31408	0	0
2021.07.13	110.358	110.647	110.198	110.630	43000	0	0
2021.07.14	110.620	110.699	109.936	109.946	41281	0	0
2021.07.15	109.946	110.090	109.713	109.841	39513	0	0
2021.07.16	109.812	110.342	109.732	110.080	38168	0	0
2021.07.19	109.995	110.099	109.064	109.452	44868	0	0
2021.07.20	109.452	109.956	109.329	109.854	56512	0	0
